ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L
6,Melbourne,Australian Open,18/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Cilic M.,Verdasco F.,7,28,4160,1410,4,6,3,6,6,1,7,6,6,3,3,2,Completed,1.28,3.75
6,Melbourne,Australian Open,19/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Medvedev D.,Goffin D.,19,22,1865,1785,6,2,7,6,6,3,,,,,3,0,Completed,1.61,2.3
6,Melbourne,Australian Open,19/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Nishikori K.,Sousa J.,9,44,3750,1017,7,6,6,1,6,2,,,,,3,0,Completed,1.14,5.5
6,Melbourne,Australian Open,19/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Carreno Busta P.,Fognini F.,23,13,1705,2315,6,2,6,4,2,6,6,4,,,3,1,Completed,2.1,1.72
6,Melbourne,Australian Open,19/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Raonic M.,Herbert P.H.,17,55,1900,903,6,4,6,4,7,6,,,,,3,0,Completed,1.16,5
6,Melbourne,Australian Open,19/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Shapovalov D.,1,27,9135,1440,6,3,6,4,4,6,6,0,,,3,1,Completed,1.05,11
6,Melbourne,Australian Open,19/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Coric B.,Krajinovic F.,12,93,2435,620,2,6,6,3,6,4,6,3,,,3,1,Completed,1.12,6
6,Melbourne,Australian Open,19/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Zverev A.,Bolt A.,4,155,6385,343,6,3,6,3,6,2,,,,,3,0,Completed,1.04,13
6,Melbourne,Australian Open,19/1/19,Grand Slam,Outdoor,Hard,3rd Round,5,Pouille L.,Popyrin A.,31,149,1245,360,7,6,6,3,6,7,4,6,6,3,3,2,Completed,1.44,2.75
6,Melbourne,Australian Open,20/1/19,Grand Slam,Outdoor,Hard,4th Round,5,Tiafoe F.,Dimitrov G.,39,21,1080,1790,7,5,7,6,6,7,7,5,,,3,1,Completed,3,1.4
